path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-1.jpg,waterstaatskaarten,1e,eerste-editie,25-Amsterdam-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-2.jpg,waterstaatskaarten,1e,eerste-editie,25-Amsterdam-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-3.jpg,waterstaatskaarten,1e,eerste-editie,25-Amsterdam-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/25-Amsterdam-4.jpg,waterstaatskaarten,1e,eerste-editie,25-Amsterdam-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/26-Harderwijk-1.jpg,waterstaatskaarten,1e,eerste-editie,26-Harderwijk-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/26-Harderwijk-2.jpg,waterstaatskaarten,1e,eerste-editie,26-Harderwijk-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-1.jpg,waterstaatskaarten,1e,eerste-editie,27-Hattem-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-2.jpg,waterstaatskaarten,1e,eerste-editie,27-Hattem-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-3.jpg,waterstaatskaarten,1e,eerste-editie,27-Hattem-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/27-Hattem-4.jpg,waterstaatskaarten,1e,eerste-editie,27-Hattem-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-1.jpg,waterstaatskaarten,1e,eerste-editie,28-Almelo-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-2.jpg,waterstaatskaarten,1e,eerste-editie,28-Almelo-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-3.jpg,waterstaatskaarten,1e,eerste-editie,28-Almelo-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/28-Almelo-4.jpg,waterstaatskaarten,1e,eerste-editie,28-Almelo-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/29-Denekamp-1.jpg,waterstaatskaarten,1e,eerste-editie,29-Denekamp-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/29-Denekamp-2.jpg,waterstaatskaarten,1e,eerste-editie,29-Denekamp-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-1.jpg,waterstaatskaarten,1e,eerste-editie,30-s-Gravenhage-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-2.jpg,waterstaatskaarten,1e,eerste-editie,30-s-Gravenhage-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/30-s-Gravenhage-3.jpg,waterstaatskaarten,1e,eerste-editie,30-s-Gravenhage-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-1.jpg,waterstaatskaarten,1e,eerste-editie,31-Utrecht-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-2.jpg,waterstaatskaarten,1e,eerste-editie,31-Utrecht-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-3.jpg,waterstaatskaarten,1e,eerste-editie,31-Utrecht-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/31-Utrecht-4.jpg,waterstaatskaarten,1e,eerste-editie,31-Utrecht-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-1.jpg,waterstaatskaarten,1e,eerste-editie,32-Amersfoort-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-2.jpg,waterstaatskaarten,1e,eerste-editie,32-Amersfoort-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-3.jpg,waterstaatskaarten,1e,eerste-editie,32-Amersfoort-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/32-Amersfoort-4.jpg,waterstaatskaarten,1e,eerste-editie,32-Amersfoort-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/33-Zutphen-1.jpg,waterstaatskaarten,1e,eerste-editie,33-Zutphen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/33-Zutphen-2.jpg,waterstaatskaarten,1e,eerste-editie,33-Zutphen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/33-Zutphen-3.jpg,waterstaatskaarten,1e,eerste-editie,33-Zutphen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/33-Zutphen-4.jpg,waterstaatskaarten,1e,eerste-editie,33-Zutphen-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/34-Groenlo-1.jpg,waterstaatskaarten,1e,eerste-editie,34-Groenlo-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/34-Groenlo-2.jpg,waterstaatskaarten,1e,eerste-editie,34-Groenlo-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/34-Groenlo-3.jpg,waterstaatskaarten,1e,eerste-editie,34-Groenlo-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/34-Groenlo-4.jpg,waterstaatskaarten,1e,eerste-editie,34-Groenlo-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/36-Goedereede.jpg,waterstaatskaarten,1e,eerste-editie,36-Goedereede
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/37-Rotterdam-1.jpg,waterstaatskaarten,1e,eerste-editie,37-Rotterdam-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/37-Rotterdam-2-1884.jpg,waterstaatskaarten,1e,eerste-editie,37-Rotterdam-2-1884
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/37-Rotterdam-3.jpg,waterstaatskaarten,1e,eerste-editie,37-Rotterdam-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/37-Rotterdam-4.jpg,waterstaatskaarten,1e,eerste-editie,37-Rotterdam-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/38-Gorinchem-1.jpg,waterstaatskaarten,1e,eerste-editie,38-Gorinchem-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/38-Gorinchem-2.jpg,waterstaatskaarten,1e,eerste-editie,38-Gorinchem-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/38-Gorinchem-3.jpg,waterstaatskaarten,1e,eerste-editie,38-Gorinchem-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/38-Gorinchem-4.jpg,waterstaatskaarten,1e,eerste-editie,38-Gorinchem-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/39-Rhenen-1.jpg,waterstaatskaarten,1e,eerste-editie,39-Rhenen-1
